chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.45945996,0.008996787,4472.035916,4091.014273,8859.633028,0.066088195,-584.0505981,61.79727554,-23.59342384,5.590224266,-4.868507862,-14.47358036,8.514890671,-5.609951973,-9.418622017,-0.536100626,-11.33175182,-2.329155445,4.394403934,-7.597970009,-3.401411533,-1.019815087,-6.88035202,-3.368108034,-3.772736549,-7.486326218,COVID
0.478864223,0.062172819,1716.687091,1287.042528,2880.013993,0.060206779,-339.473114,195.9983521,-71.13731384,-40.94032669,15.79244995,-17.57284927,-11.04621696,5.916699409,-4.358209133,-5.578382492,0.068281338,0.557395339,-9.54484272,-17.362257,-9.357918739,-6.261649609,-6.36011219,-1.210377455,-8.340941429,-15.11517143,COVID
0.525624037,0.039662298,1368.746012,1584.324078,2487.483422,0.03828928,-399.875,124.3838501,2.369276524,-22.4691124,3.915560484,7.695487499,-1.356030822,1.939691424,9.076259613,-0.047670238,-12.30625343,-6.314852715,-1.190099716,-10.7844944,-16.24710846,-12.70205021,-8.920524597,-6.385002613,-7.368927002,-10.49913025,COVID
0.401904434,0.010814495,3434.531402,3170.332347,6698.14294,0.045474553,-523.960022,24.61452103,-1.838968277,11.11581612,3.059329748,-8.042590141,3.154274464,2.031467915,-4.077854633,0.131107569,-1.853958607,-4.391655445,-1.957273483,-2.827440977,-2.545227766,-1.227542877,-2.477448225,-2.447953939,-2.079098225,-2.047975779,COVID
0.438088775,0.076693855,1282.34919,1521.119261,2202.750599,0.034933169,-366.8810425,144.6810455,-4.034732819,-20.04396057,1.472907901,0.334811777,6.525205135,7.578791142,-4.591796875,-16.027771,-14.8150177,0.305865347,4.053081036,-7.80042696,-12.25246334,-8.907880783,-4.003789425,-2.407931089,-9.802736282,-13.0510273,COVID
0.422616512,0.041385435,1367.747638,1649.524947,2557.817036,0.031791432,-398.9586487,133.6818085,5.387645245,-11.96985817,4.150870323,-5.188966751,-10.00158787,-11.21658325,-13.51272488,-9.533833504,-6.783025742,-5.367494583,-4.842468739,-7.105446815,-3.845756531,-0.192941159,-4.780094147,-7.767279148,-7.004192352,-8.137721062,COVID
0.428474367,0.030274492,1233.839256,1542.231066,2055.409209,0.033366637,-426.7276917,120.7097397,10.54851913,-17.68316841,-11.2035923,-6.832219124,-2.39546299,-8.164095879,-11.0121088,-7.470601082,-9.615504265,-7.887515068,-4.25365591,-6.244198799,-3.311174154,-0.10557285,-5.258808136,-8.947662354,-8.541460037,-8.178643227,COVID
0.467198282,0.033584647,1470.36746,2174.172415,2405.857591,0.031334725,-430.2362671,97.67273712,16.4056263,-4.987074852,-4.08386755,-8.932271957,-5.256840706,-3.307254076,-7.297297001,-5.084605217,-1.745002508,-3.512159348,-6.418107033,-7.559284687,-5.810394287,-5.119655132,-7.549526215,-7.085247993,-5.104195118,-7.098052979,COVID
0.419101149,0.027144311,1754.956712,2520.558156,3093.191182,0.036464268,-444.7194824,82.98843384,11.24075794,-2.521458864,1.202251196,-6.364309788,-6.765287876,-5.170646191,-11.89529324,-15.83075619,-8.740427971,-0.104000479,-1.684778452,-6.70537281,-5.759754658,-5.486419201,-7.752447605,-5.866905212,-2.59270978,-3.022614956,COVID
0.477566451,0.021976005,3620.479166,3179.42681,6928.912217,0.094904341,-492.5209961,74.03199768,-61.68632126,2.998227119,15.65672207,-6.203218937,17.03095245,7.155405998,-0.073061079,3.403095007,-9.694932938,-0.338752538,1.099110723,-11.27041817,-0.440694302,-1.810414433,-11.41755009,-4.286389828,-5.407580376,-8.369698524,COVID
0.42259708,0.070121013,2871.849453,2913.388462,5645.885837,0.062724452,-381.0741577,84.93289948,-37.67084122,5.75001812,1.800527334,-14.36250114,8.143370628,-7.567203045,-10.97457886,-4.528644085,-16.55612564,-2.159734011,0.801010966,-14.00891685,-2.763080835,0.099524625,-5.435477734,1.368192077,-1.323866129,-3.653896093,COVID
0.648630261,0.005124217,7006.017539,5953.99621,14362.06839,0.201172921,-548.0310059,34.07342911,11.7061367,11.64552498,8.167834282,7.736314297,5.658643246,5.784686565,2.192882299,0.026113931,0.209698275,0.631368637,0.137091383,-0.01902771,0.022596044,-0.606341541,-1.335025668,-0.074489065,-0.718708694,-1.019462228,COVID
0.421031922,0.037392382,2828.62088,3428.340218,5149.876873,0.063455969,-469.1796265,59.64683151,-12.27129555,-2.726782084,-2.32600379,-9.689791679,0.83340776,-7.159926414,-12.47962189,-3.236574173,-4.83686924,-3.59404707,-0.444332361,-6.597930431,-5.565509796,-2.031559229,-3.285760164,-1.795044661,-3.643030167,-4.713141441,COVID
0.531731009,0.007908387,4193.566134,4404.102751,8949.950907,0.083944699,-570.963562,58.64038086,-18.17972946,-0.630126178,4.598893166,-3.930107117,4.043471813,-2.120487928,-5.165933132,-1.545855165,-3.81912899,1.602519512,1.660623908,-3.362068415,0.838866472,-1.632555127,-5.843373299,-1.778563261,-2.014652729,-2.445765257,COVID
0.419005275,0.028698355,3913.798791,4954.028786,8725.69142,0.050332666,-475.0272522,38.11372757,-5.219419956,1.684861422,-0.181972072,0.975874901,-2.694903612,-3.022553921,-6.697586536,-2.781341791,-3.755272865,0.165862679,-0.124176525,0.739770472,0.063757427,0.457071751,-1.003364801,0.089477554,0.278079838,-2.457064629,COVID
